id,likes,views,reposts,comments,date,text,tags,votes,attachments,rubr
984,16,626,11,1,2024-10-15 23:30:00,903,['анонс'],,"['link', 'photo']",Анонс
993,9,238,1,0,2024-10-19 22:00:00,340,"['авторское', 'периоды в истории кино']",,['link'],Статья
991,9,276,1,0,2024-10-18 23:30:00,2553,['авторское'],,['photo'],Статья
990,5,268,0,0,2024-10-18 18:00:26,269,['авторское'],,['video'],Статья
989,16,335,1,0,2024-10-17 22:45:00,4882,['авторское'],,['photo'],Статья
986,19,431,0,0,2024-10-16 18:17:25,279,['авторское'],,['video'],Статья
982,15,492,4,0,2024-10-13 00:00:02,2126,['авторское'],,['photo'],Статья
980,11,316,0,0,2024-10-12 18:31:39,359,['авторское'],,['video'],Статья
975,16,476,1,2,2024-10-11 22:00:00,2045,['авторское'],,['photo'],Статья
970,23,533,0,2,2024-10-11 19:17:04,291,['авторское'],,['video'],Статья
969,10,477,2,0,2024-10-10 23:00:00,187,['авторское'],,['link'],Статья
967,14,606,1,1,2024-10-09 20:00:00,481,[],,['link'],Без рубрики
966,8,385,1,0,2024-10-09 19:21:52,206,['авторское'],,['video'],Статья
963,19,474,1,0,2024-10-08 20:17:15,338,['авторское'],,['video'],Статья
962,18,760,4,0,2024-10-07 21:00:00,592,['анонс'],,['video'],Анонс
960,9,509,1,0,2024-10-07 13:48:00,263,['авторское'],,"['video', 'photo']",Статья
959,28,522,1,0,2024-10-06 14:38:35,226,['авторское'],,['video'],Статья
958,26,562,1,0,2024-10-05 17:10:00,2977,['авторское'],,['photo'],Статья
957,21,510,0,0,2024-10-05 13:09:14,334,['авторское'],,['video'],Статья
955,9,245,0,0,2024-10-04 23:46:00,2159,['авторское'],,['photo'],Статья
953,13,520,1,0,2024-10-03 18:10:04,348,['авторское'],,['video'],Статья
952,15,503,1,0,2024-10-03 18:00:02,2638,"['авторское', 'отчаянныедомохозяйки']",,['photo'],Статья
949,14,467,0,1,2024-10-02 20:45:00,3613,['авторское'],,['photo'],Статья
948,11,389,0,0,2024-10-02 18:00:48,319,['авторское'],,['video'],Статья
946,22,531,1,0,2024-10-01 20:05:44,294,['авторское'],,['video'],Статья
943,15,476,2,2,2024-10-01 19:30:00,304,['авторское'],,['link'],Статья
941,30,1941,33,0,2024-09-30 23:15:32,742,"['анонс', 'чарли и шоколадная фабрика']",,['photo'],Анонс
938,13,502,0,1,2024-09-30 19:00:07,345,['авторское'],,['video'],Статья
937,17,430,1,0,2024-09-29 19:40:00,4375,['авторское'],,['photo'],Статья
933,17,676,2,2,2024-09-28 22:45:00,2487,"['о личности', 'авторское']",,['photo'],Оличности
932,12,478,2,0,2024-09-28 19:00:38,339,['авторское'],,['video'],Статья
930,15,533,0,0,2024-09-27 21:57:19,4066,['авторское'],,['photo'],Статья
928,19,868,0,0,2024-09-26 16:20:41,358,[],,['video'],Без рубрики
927,18,741,1,0,2024-09-26 15:00:01,4007,['авторское'],,['photo'],Статья
925,8,560,0,0,2024-09-24 20:29:42,272,['авторское'],,['video'],Статья
924,12,618,0,0,2024-09-23 13:00:53,327,['авторское'],,['video'],Статья
923,14,614,6,0,2024-09-22 18:00:01,665,"['анонс', 'твинпикс']",,['photo'],Анонс
919,28,734,2,2,2024-09-21 21:27:50,3186,['авторское'],,"['photo', 'audio']",Статья
917,10,464,0,0,2024-09-21 18:00:59,320,['авторское'],,['video'],Статья
915,13,580,0,0,2024-09-20 18:00:28,346,['авторское'],,['video'],Статья
912,18,754,1,2,2024-09-19 22:00:00,333,[],,['link'],Без рубрики
910,16,459,0,0,2024-09-19 18:00:56,306,['авторское'],,['video'],Статья
909,15,558,0,0,2024-09-18 23:20:07,3628,['авторское'],,['photo'],Статья
906,7,687,0,0,2024-09-18 19:43:08,397,['авторское'],,['video'],Статья
905,20,572,2,0,2024-09-17 22:30:00,2310,['авторское'],,['photo'],Статья
903,13,504,0,0,2024-09-16 20:00:00,156,['авторское'],,['link'],Статья
902,10,400,0,0,2024-09-16 19:30:19,410,['авторское'],,['video'],Статья
896,46,1865,24,5,2024-09-15 12:00:01,800,"['анонс', 'твинпикс']",,['photo'],Анонс
894,15,577,0,0,2024-09-14 18:54:17,323,['авторское'],,['video'],Статья
892,12,571,3,1,2024-09-14 18:00:09,188,"['идеальныедни', 'авторское']",,['link'],Статья
891,12,627,1,0,2024-09-13 19:09:48,328,['авторское'],,['video'],Статья
890,16,507,2,0,2024-09-13 15:22:12,272,['авторское'],,['video'],Статья
887,23,745,3,2,2024-09-12 21:00:00,159,['авторское'],,['link'],Статья
877,39,1470,12,2,2024-09-06 14:11:02,696,[],,['doc'],Без рубрики
875,13,914,5,0,2024-06-28 16:20:00,1197,[],,"['video', 'link']",Без рубрики
871,13,1016,4,0,2024-06-05 19:08:44,1327,[],,"['link', 'photo']",Без рубрики
868,24,1378,2,2,2024-05-22 13:00:01,267,['технокино'],,['video'],Фестиваль
866,14,953,5,0,2024-05-19 22:45:00,741,['кинофестиваль'],,"['link', 'album']",Фестиваль
864,14,896,3,0,2024-05-18 18:00:03,388,['авторское'],,['link'],Статья
862,8,627,0,0,2024-05-18 13:13:51,243,['авторское'],,['video'],Статья
861,4,495,0,0,2024-05-18 00:44:40,0,[],,[],Без рубрики
860,12,815,0,0,2024-05-16 14:27:28,434,['авторское'],,['video'],Статья
859,27,780,1,0,2024-05-15 23:30:00,4329,['авторское'],,['photo'],Статья
857,16,618,1,0,2024-05-14 18:00:04,303,['кинофестиваль'],,"['video', 'link']",Фестиваль
852,30,1083,12,3,2024-05-13 18:50:00,691,"['анонс', 'кинофестиваль']",,"['link', 'photo']",Анонс
850,8,566,0,0,2024-05-09 21:00:39,163,['авторское'],,['video'],Статья
848,22,594,2,1,2024-05-07 18:00:03,158,['авторское'],,['photo'],Статья
845,8,555,1,1,2024-05-06 20:00:02,243,[],,['link'],Без рубрики
842,9,514,0,0,2024-05-05 20:15:01,237,['авторское'],,['video'],Статья
838,18,548,2,0,2024-05-04 21:30:00,3724,['авторское'],,['photo'],Статья
835,16,1039,0,1,2024-05-02 21:00:01,3202,['авторское'],,['photo'],Статья
833,20,764,0,0,2024-04-30 20:00:02,1942,['авторское'],,['photo'],Статья
830,8,396,0,0,2024-04-29 21:04:50,2593,['авторское'],,['photo'],Статья
828,9,467,1,0,2024-04-28 19:58:54,244,['авторское'],,['video'],Статья
827,13,594,1,0,2024-04-27 20:00:02,342,['технокино'],,['video'],Фестиваль
825,19,536,1,0,2024-04-26 11:54:02,464,['авторское'],,['video'],Статья
822,28,489,2,2,2024-04-24 21:02:05,249,['технокино'],,['video'],Фестиваль
820,19,589,0,0,2024-04-22 21:30:00,589,['кинофестиваль'],,['photo'],Фестиваль
818,16,530,0,0,2024-04-22 00:00:00,540,['кинофестиваль'],,['photo'],Фестиваль
812,43,1119,3,3,2024-04-19 22:52:51,925,['новости'],,['photo'],Новости
811,21,620,1,0,2024-04-19 21:45:05,545,[],,['photo'],Без рубрики
809,19,493,1,0,2024-04-18 19:51:40,370,['авторское'],,['video'],Статья
808,19,514,0,0,2024-04-18 16:00:02,758,['кинофестиваль'],,['photo'],Фестиваль
806,21,583,1,0,2024-04-17 18:30:00,838,['кинофестиваль'],,['photo'],Фестиваль
804,7,423,0,0,2024-04-17 10:27:11,60,[],,[],Без рубрики
802,21,578,1,1,2024-04-15 22:35:51,760,['кинофестиваль'],,['photo'],Фестиваль
797,28,808,4,3,2024-04-13 21:30:00,4033,['авторское'],,"['photo', 'audio']",Статья
796,22,680,2,0,2024-04-13 17:41:05,389,['авторское'],,['video'],Статья
793,14,578,0,1,2024-04-11 20:00:02,358,"['авторское', 'кинфестиваль']",,['link'],Статья
791,23,496,0,0,2024-04-11 16:28:35,467,['авторское'],,['video'],Статья
790,14,519,0,0,2024-04-09 21:51:01,415,"['авторское', 'кинофестиваль']",,['video'],Статья
789,10,404,0,0,2024-04-09 21:00:07,0,[],,[],Без рубрики
788,16,511,1,0,2024-04-09 20:30:00,2501,"['авторское', 'кинофестиваль']",,['photo'],Статья
787,19,532,0,0,2024-04-08 19:00:02,2732,"['авторское', 'кинофестиваль']",,['photo'],Статья
786,33,1084,5,0,2024-04-07 21:00:01,1842,['кинофестиваль'],,['photo'],Фестиваль
784,23,596,0,0,2024-04-07 18:00:02,693,['кинофестиваль'],,"['link', 'photo']",Фестиваль
780,26,631,3,1,2024-04-06 21:30:00,4068,"['авторское', 'кинофестиваль']",,['photo'],Статья
779,16,493,0,0,2024-04-06 14:45:00,919,['кинофестиваль'],,"['link', 'photo']",Фестиваль
777,18,581,1,0,2024-04-06 12:20:50,295,"['авторское', 'кинофестиваль']",,['video'],Статья
775,15,552,6,0,2024-04-05 19:30:00,1329,['кинофестиваль'],,"['photo', 'doc']",Фестиваль
774,18,464,0,0,2024-04-05 13:00:03,841,['кинофестиваль'],,"['link', 'photo']",Фестиваль
772,15,499,0,0,2024-04-04 19:00:01,297,"['авторское', 'кинофестиваль']",,['link'],Статья
770,15,481,0,0,2024-04-04 14:00:03,2934,"['авторское', 'кинофестиваль']",,['photo'],Статья
769,16,408,0,0,2024-04-04 12:00:02,915,['кинофестиваль'],,"['link', 'photo']",Фестиваль
767,17,447,0,0,2024-04-03 20:40:10,885,['кинофестиваль'],,"['link', 'photo']",Фестиваль
766,17,465,1,0,2024-04-03 19:00:01,297,"['авторское', 'кинофестиваль']",,['link'],Статья
760,18,457,1,1,2024-04-02 21:00:01,818,['кинофестиваль'],,"['link', 'photo']",Фестиваль
759,55,2301,15,2,2024-04-02 20:00:02,668,[],,"['link', 'photo', 'doc']",Без рубрики
747,26,829,3,4,2024-04-01 18:30:01,937,[],,['photo'],Без рубрики
735,39,1008,4,4,2024-03-30 22:00:01,4942,['авторское'],,['photo'],Статья
734,24,583,0,0,2024-03-30 09:39:32,423,['авторское'],,['video'],Статья
728,48,7887,34,0,2024-03-27 21:17:00,1431,"['анонс', 'кинофестиваль']",,"['link', 'photo', 'doc']",Анонс
727,28,786,2,0,2024-03-27 19:51:58,429,['авторское'],,['video'],Статья
724,31,1098,3,3,2024-03-26 19:30:00,3415,"['авторское', 'дюна2']",,['photo'],Статья
722,17,848,3,1,2024-03-25 19:30:01,841,['авторское'],,['link'],Статья
719,26,767,3,0,2024-03-22 18:00:05,1730,['авторское'],,['photo'],Статья
717,28,613,0,0,2024-03-21 20:30:00,2714,['авторское'],,['photo'],Статья
713,20,682,3,1,2024-03-20 21:48:06,473,['авторское'],,['video'],Статья
712,36,795,8,0,2024-03-19 21:35:00,1131,['кинофестиваль'],,"['photo', 'doc']",Фестиваль
707,26,839,3,5,2024-03-19 18:00:05,280,['авторское'],,['link'],Статья
705,16,669,0,0,2024-03-17 21:00:02,308,['авторское'],,['link'],Статья
703,27,580,0,0,2024-03-16 21:00:02,3304,['авторское'],,['photo'],Статья
701,29,564,2,0,2024-03-15 21:23:45,296,['авторское'],,['video'],Статья
700,26,510,2,0,2024-03-15 21:00:03,670,['новости'],,['photo'],Новости
699,27,555,2,0,2024-03-14 22:00:01,2622,['авторское'],,['photo'],Статья
696,31,667,2,0,2024-03-14 17:00:04,337,['авторское'],,['video'],Статья
694,16,534,3,0,2024-03-13 22:00:01,2555,"['авторское', 'оличности']",,['photo'],Статья
691,32,883,4,0,2024-03-12 18:00:04,3280,"['авторское', 'оличности']",,['photo'],Статья
687,37,883,6,2,2024-03-09 17:00:02,5092,['авторское'],,['photo'],Статья
683,40,2598,3,3,2024-03-08 20:15:00,5008,['авторское'],,['photo'],Статья
682,38,677,2,0,2024-03-08 09:52:26,343,['авторское'],,['video'],Статья
679,26,582,3,0,2024-03-06 20:00:04,3755,['авторское'],,['photo'],Статья
677,32,683,2,0,2024-03-05 21:00:02,1435,['авторское'],,['photo'],Статья
674,25,451,0,1,2024-03-05 16:00:04,1694,['отчёт'],,['photo'],Отчет
669,29,636,0,3,2024-03-04 21:21:00,2846,"['авторское', 'деньрождения', 'мюзиклыотмарфы']",,['photo'],Статья
665,32,969,5,1,2024-03-03 22:20:00,2663,"['авторское', 'разведка']",,['photo'],Статья
661,29,604,2,2,2024-03-02 20:30:00,178,"['авторское', 'драйв']",,['link'],Статья
657,27,546,2,0,2024-03-01 20:11:30,251,['авторское'],,"['video', 'link']",Статья
656,35,789,2,2,2024-03-01 19:00:04,172,['авторское'],,['photo'],Статья
654,26,508,0,0,2024-02-29 20:00:10,386,['авторское'],,['video'],Статья
653,29,712,2,0,2024-02-29 19:00:02,5068,"['авторское', 'o личности']",,['photo'],Статья
651,31,672,1,0,2024-02-28 23:00:05,335,['анонс'],,['video'],Анонс
649,28,754,9,0,2024-02-27 21:00:02,6001,['авторское'],,['photo'],Статья
647,42,607,3,1,2024-02-27 12:00:05,534,['авторское'],,['video'],Статья
